ID,Answer
10023321,4
10076124,1
10292442,1
10450610,3
10466910,2
10498495,4
10598939,4
10657631,1
10697984,4
10755199,4
10893831,2
10899468,3
11029747,2
11115650,1
11171068,2
11264504,1
11300704,1
11321456,4
11348435,1
11368101,4
11423982,1
11516995,3
11556898,2
11693578,3
11753162,3
11813456,3
11838237,3
11891863,3
12099579,1
12102484,2
12150342,1
12246676,4
12445203,2
12698762,1
12884075,1
12926965,4
13007916,4
13112037,1
13154559,1
13258450,2
13355897,3
13609500,2
13610809,4
13691360,1
13763772,3
13766210,1
13984831,4
14239854,3
14280563,1
14369409,2
14396639,1
14492855,2
14571007,2
14709051,3
14814753,2
14908693,3
15117062,1
15168293,2
15192355,3
15227387,2
15398662,2
15912226,2
15951075,2
16193830,3
16204497,2
16362129,4
16407193,2
16457852,3
16518476,2
16546810,3
16549356,3
16703406,3
16898108,3
16909153,1
16910649,3
16983731,1
17019434,2
17329587,1
17471896,3
17724480,1
17873549,2
18128262,1
18178799,3
18257409,2
18397693,1
18492824,1
18515874,3
18741469,2
18779447,2
18989913,1
19038866,3
19212462,2
19220703,3
19277838,1
19303177,2
19445297,3
19463064,3
19576366,4
19584616,2
19662077,3
19675519,3
19714653,2
19720602,3
19827337,2
19953743,4
19954659,3
20073793,4
20094174,3
20142679,4
20212100,1
20336490,2
20513965,3
20583494,3
20593833,2
20625301,1
20634540,4
20720072,3
20736627,1
20929290,1
21016444,1
21106935,3
21189878,4
21226453,2
21336728,4
21351331,4
21369991,4
21561344,3
21577123,1
21743020,3
21763747,4
21778173,2
21820433,4
21931231,4
22016589,3
22100377,2
22101890,3
22229083,2
22367603,2
22386247,1
22507162,1
22758996,1
22988063,1
23009422,2
23064985,3
23094030,3
23120095,2
23185450,3
23333701,2
23352935,4
23378299,4
23522594,4
23608299,4
23817944,2
23930613,4
24143628,2
24263046,3
24355799,2
24365031,4
24435016,1
24449680,4
24542374,2
24610726,3
24649708,4
24676882,2
24884065,4
24910497,3
24972835,2
25019784,1
25082737,2
25199776,1
25264183,1
25344713,2
25498596,3
25543707,2
25556764,4
25571050,2
25641937,2
25697929,2
25748090,2
25771114,2
25780278,2
25792979,2
25820129,3
25836968,3
25892380,1
26027353,2
26157663,3
26186497,4
26210726,2
26227064,3
26330504,2
26381972,4
26460032,1
26533393,2
26535956,1
26607564,4
26647314,4
26656486,2
26724971,3
26921201,4
26936231,3
26968505,2
27322080,3
27332335,4
27363514,3
27618457,1
27630450,1
27831894,3
27947154,3
27952572,3
27969464,3
28015653,4
28092570,1
28220506,4
28279100,2
28443714,4
28516385,2
28695603,2
28701210,4
28725148,3
28802066,3
29074746,2
29135757,3
29197407,3
29220937,1
29246936,2
29310798,1
29349634,3
29634427,4
29810805,3
29938730,3
30090975,1
30103282,4
30103343,2
30301090,3
30351914,2
30446630,2
30538256,2
30614498,3
30717875,3
30888639,4
30916139,1
30920549,2
30927330,3
31052796,3
31082653,3
31204497,2
31297308,3
31388061,1
31418038,3
31491549,2
31529728,4
31656758,3
31929624,2
32010797,2
32065696,1
32113189,2
32354842,4
32373063,4
32512700,4
32528495,3
32538170,3
32745936,4
32815343,1
32827530,2
32877429,2
32923350,4
32999142,3
33193908,3
33216442,1
33339940,4
33356590,4
33438579,4
33481747,1
33734254,4
33792933,3
33797297,1
33989028,3
34100541,3
34165479,4
34314302,3
34413826,1
34483223,2
34531294,1
34596882,1
34786269,2
34833527,3
34979667,2
34999260,1
35086193,1
35086611,2
35148524,4
35190340,2
35377022,2
35388601,2
35496107,3
35626112,3
35660762,2
35683046,2
35686634,2
35690404,4
35726050,2
35889309,2
35996402,4
36128561,3
36151996,1
36464231,3
36466099,3
36777664,2
36780224,2
36921231,3
36927037,2
36979416,2
37009957,3
37037764,1
37393415,1
37716553,4
37872188,1
37946620,1
38148049,2
38162949,1
38316553,2
38576994,4
38722560,3
38794952,1
38876311,2
39037060,4
39205257,4
39250564,4
39342484,3
39370749,4
39457290,3
39469100,2
39472570,3
39615550,3
39623148,3
39740294,1
39860584,3
39915817,3
40267484,2
40342498,2
40485081,1
40607676,3
40678959,1
40704733,3
40817799,2
40852250,3
40893184,1
41054040,4
41260821,4
41294659,2
41634618,1
41646437,1
41674658,4
41896433,4
42024282,2
42037518,4
42044798,1
42270254,2
42276779,1
42310855,4
42356310,2
42423693,3
42464984,2
42503762,4
42554751,2
42883747,3
42913341,4
42992438,1
43031177,2
43154080,4
43241506,3
43282777,4
43462849,1
43596953,1
43681892,1
43748728,2
43764994,3
43809667,3
43936611,2
44034184,4
44305696,3
44384618,3
44444743,3
44494522,4
44528461,3
44758733,4
44916808,3
44989428,1
45033275,4
45212997,3
45277639,3
45377503,3
45424161,4
45492456,3
45573277,1
45707007,4
45721011,4
45858186,4
45887033,2
46279778,3
46478391,3
46657991,2
46790338,4
47025738,3
47191375,1
47280828,2
47360608,4
47372380,3
47891041,3
48059548,4
48124050,1
48182413,3
48213959,3
48309802,2
48371253,1
48445433,4
48508684,2
48641187,1
48761892,2
48899741,2
48992758,1
49014843,3
49097615,3
49101607,4
49199740,1
49301192,4
49345576,4
49494468,3
49672872,2
49909534,2
49927530,4
49971434,2
50027320,3
50041578,4
50056043,1
50245418,3
50250811,2
50497638,4
50506871,3
50547976,3
50612944,3
50687196,2
50768900,1
50966204,1
50992179,1
51000853,4
51037962,2
51177478,3
51177767,2
51468230,3
51515317,4
51593301,2
51641638,2
51706669,4
51991177,2
52042156,4
52095705,2
52310324,2
52367944,2
52496524,3
52508855,2
52548519,3
52625207,2
52626596,3
52646281,3
52738229,4
52951154,3
53167269,3
53206407,1
53307108,1
53389303,2
53670420,2
53749565,1
53881027,4
53985915,3
54010869,3
54181581,2
54248885,3
54382171,3
54562016,1
54563893,1
54567832,3
54579633,2
54703635,2
55013257,3
55022132,2
55031777,1
55113922,4
55168507,2
55185532,3
55295938,1
55384860,3
55405606,1
55543404,1
55633512,3
55778234,1
55834141,1
55881902,3
55904212,2
55969081,4
56073710,3
56139505,4
56167998,1
56412334,3
56413209,3
56712590,2
56789552,1
56857979,2
56933634,4
56950104,3
56995889,4
57025942,3
57031941,2
57156762,4
57221803,2
57443301,2
57481416,2
57948540,3
58013283,1
58023829,2
58049946,1
58147431,1
58172260,1
58254705,4
58317090,2
58462760,4
58463253,3
58475200,3
58546022,3
58555292,2
58598675,3
58678601,3
58818792,4
58832479,4
58990864,1
59032166,1
59042732,2
59084478,4
59152721,2
59171652,1
59283896,3
59685946,2
59801676,3
59813140,4
59829685,1
59876920,3
60006119,3
60041433,4
60081463,2
60139445,2
60158284,3
60224213,3
60360747,1
60572316,3
60604361,2
60766632,4
61015678,2
61066421,3
61227364,4
61258191,3
61282049,2
61337359,3
61394815,3
61746117,4
61868774,2
61927316,3
62018518,3
62258809,4
62410737,4
62421989,3
62525579,3
62566935,3
62568620,1
62628400,3
62661238,1
62932598,1
63077572,2
63127771,3
63157537,4
63257384,2
63422381,3
63575501,3
63620958,4
63725684,1
63751215,2
64110599,1
64115714,1
64229392,2
64293316,4
64306025,1
64377473,3
64437287,4
64530635,2
64715270,3
64748858,3
65114154,1
65145549,3
65411632,2
65453053,1
65506693,3
65509215,1
65646532,2
65704876,2
65780965,1
65805259,4
65842325,1
65861936,4
65865253,4
65953217,3
66060112,1
66117519,1
66148268,1
66356435,3
66405350,4
66453737,1
66480707,2
66503529,3
66595852,2
66696281,3
66799160,2
66976830,2
67106903,3
67163001,3
67235198,3
67289981,4
67408250,1
67480852,1
67513152,1
67683385,2
67688621,1
67778544,1
67825032,2
67832199,2
67927901,3
67944966,1
68078340,3
68082849,2
68099165,3
68099673,4
68133679,3
68154151,1
68216603,4
68244553,2
68274304,2
68478450,3
68611024,1
68645504,3
68667103,3
68735218,1
68751149,1
68754837,4
69105652,3
69487234,2
69653431,3
69816409,2
69818083,3
70135990,2
70145987,4
70159892,2
70201233,4
70288331,3
70553884,3
70652366,2
70707750,4
70724683,3
70805594,3
70899055,4
70936275,1
70949010,2
70973659,2
70977664,2
71283614,3
71305448,1
71330218,4
71332468,2
71366193,2
71383278,3
71667045,4
71688526,3
71943986,1
72065904,3
72098807,2
72193999,2
72330024,3
72458278,2
72600221,2
72648975,2
73107585,3
73229523,4
73290874,2
73345500,3
73517783,2
73565277,4
73603262,2
73709065,1
73860597,1
73943128,3
74035476,4
74093956,1
74196140,3
74242894,3
74272614,4
74410650,1
74473886,3
74518209,2
74597028,2
74651804,3
74686588,4
74696366,3
74733153,2
74900896,4
74905625,4
74959346,4
75059061,3
75059555,2
75078606,2
75131081,2
75305241,4
75464392,1
75692356,3
75787193,2
75873067,3
76046406,1
76106989,4
76150336,1
76165769,3
76171840,3
76256596,1
76307536,2
76313317,3
76353307,3
76365620,4
76460663,3
76587897,3
76609139,2
76716323,1
76802508,2
76816634,1
